aax	[1,1,[Molnupiravir,"",1]]
governor	[71,188,[24th_United_States_Congress,m,3],[75th_United_States_Congress,m,1],[AD_1962,m,5],[Abbot,m,1],[Ahmed_el-Tayeb,"",1],[Ancient_Greek_religion,m,1],[Arendt,"",1],[Bayram_Pasha,m,6],[Bengkulu,m,3],[Booker_T._Washington,"",2],[Brown_v._Plata,"",9],[Cassam_Moollan,m,5],[Concino_Concini,m,1],[Cory_Doctorow,m,1],[Dominion_%28card_game%29,"",3],[Eadweard_Muybridge,"",3],[Edmund_Randolph,"",9],[Eket_people,"",5],[Est%C3%AAv%C3%A3o_da_Gama_(16th_century),m,3],[Eva_Moskowitz,"",1],[Freethought,"",2],[Freundel_Stuart,m,2],[Gayton_P._Osgood,m,1],[George_Bush_Presidential_Library,"",1],[Greco-Roman_world,"",1],[Hollywood_Road,"",1],[Hudson's_Bay_Company,"",25],[Hurrem_Sultan,"",3],[Imperial_Chinese_tributary_system,"",1],[International_Women's_Day,"",1],[Iron_Guard,m,1],["James_Blackwood,_2nd_Baron_Dufferin_and_Claneboye",m,1],[Kickstand,"",1],[Koala,"",1],[La_Guajira_Department,"",3],[Luis_A._Ferr%C3%A9_Performing_Arts_Center,"",2],["Maryland,_My_Maryland","",2],[Mombasa_County,m,1],[Montani_Semper_Liberi,"",2],[Morgan_le_Fay,m,1],[Muhammad_Mustafa_Mero,m,4],[Musiliu_Smith,m,2],[Nagorno-Karabakh,m,4],[Napalm_Death,m,1],[Net_metering_in_Nevada,"",8],[New_York_State_Banking_Department,"",5],[Nick_Holonyak,"",1],[Nuremburg_Trials,"",1],[Odessa,m,3],["Orders,_decorations,_and_medals_of_the_United_Kingdom",m,5],[Political_subdivisions_of_New_York_State,m,3],[Publius_Petronius_Turpilianus,"",6],[Rachel%27s_Tomb,"",1],[Reelz,"",1],[Reform_War,"",1],["Rudolf_II,_Holy_Roman_Emperor",m,1],[Russo-Persian_War_(1826%E2%80%931828),m,1],[Samuel_A._Foot,m,5],[Samuel_Bowles_(economist),"",1],[Satsuma_Rebellion,m,3],["Sebasti%C3%A3o_Jos%C3%A9_de_Carvalho_e_Melo,_1st_Marquis_of_Pombal",m,1],[Seljuks,m,2],[Siege_of_Shkodra,m,1],[Stadium_Australia,"",1],[Supply-side_economics,"",1],[Thai_Malays,"",1],[Tokharistan,m,1],[Universal_Kids,"",1],[Universit%C3%A9_de_Montr%C3%A9al,m,3],["Vasco_da_Gama,_Goa","",1],["Wolfgang,_Prince_of_Anhalt-K%C3%B6then","",1]]
gramophone	[3,3,[Audio_mixing_(recorded_music),"",1],[Bakelite,m,1],[Scratching,m,1]]
greenlit	[2,2,[Prince_(musician),"",1],[South_Park,"",1]]
gregarious	[3,3,[Carolina_parakeet,"",1],[Psilocybe_stuntzii,m,1],[Tuvok,"",1]]
grenier	[5,22,[Arendt,"",2],[Condorcet,"",1],[EMS_Prize,m,1],[Jupiter_(mythology),"",1],[Roger_Grenier,m,17]]
gruden	[1,3,[2017_NFL_season,"",3]]
gulam	[2,2,["Category:Bihar_politician_stubs",m,1],[Prabhu_Deva,"",1]]
habitats	[14,24,[Antelope,m,2],[Carolina_parakeet,"",1],[Comoro_Islands,"",3],["Forest_Park_(St._Louis,_Missouri)","",2],[Global_climate_change,"",1],[Hawaiian_crow,m,2],[Koala,"",3],[Okapi,"",1],[Palsa,m,2],[Peak_District,"",1],[Pitcher_plant,"",1],[Primates,"",3],[Site_of_Special_Scientific_Interest,"",1],[Tardigrade,m,1]]
hafting	[1,1,[Magdalenian,"",1]]
hagiographic	[1,1,[Joseph_Stalin,"",1]]
hallermund	[1,1,[Abbot,m,1]]
halting	[2,3,[Great_Fire_of_London,"",2],[River_Heddon,"",1]]
hamadan	[3,5,[Cuneiform,"",2],[Seljuks,m,2],[Zar,m,1]]
hamppe	[1,7,[Immortal_Draw,m,7]]
haneulyeon	[1,1,[Busan,m,1]]
hanglu	[1,1,[Okapi,"",1]]
hanno	[1,1,[Rapeseed,"",1]]
harano	[1,1,[Prince_(musician),"",1]]
harishchandra	[1,2,[Solar_Dynasty,"",2]]
harukō	[1,1,[Fate/Grand_Order,"",1]]
hayashiya	[1,1,[AD_1962,m,1]]
hbf	[1,3,[Stadium_Australia,"",3]]
heaters	[1,11,[Thermostat,m,11]]
hedrick	[1,1,[Global_climate_change,"",1]]
heering	[2,2,[Calvados_(spirit),"",1],[History_of_Champagne,"",1]]
heights	[38,91,[1700_Cascadia_earthquake,"",1],[Africa,"",1],[Apogee,m,1],[Basin_and_Range_Province,"",1],[Cascadia_subduction_zone,"",2],["Chesterfield,_Virginia","",1],[Erg_(landform),"",1],[Eva_Moskowitz,"",2],["Forest_Park_(St._Louis,_Missouri)","",5],[Forklift,"",3],[Ghazi_Kanaan,m,1],[Hatch_Act_of_1939,"",6],[Icarus,"",1],["International_District,_Seattle,_Washington","",4],[Joseph_Stalin,"",1],[Leonie_(film),"",1],[List_of_tallest_buildings_and_structures_in_the_world,m,8],[Luis_A._Ferr%C3%A9_Performing_Arts_Center,"",1],[Madison_Metropolitan_School_District,m,1],["Manhattan,_New_York","",12],[Model_railroading,m,1],["National_Register_of_Historic_Places_listings_in_Rockingham_County,_New_Hampshire","",2],[Natural_News,"",1],[Palsa,m,2],[Peak_District,"",1],["Port_Hacking,_New_South_Wales","",3],[Primates,"",2],[Selangor,"",6],[Selangor,m,3],[Seljuks,m,1],[Seven_Summits,"",2],[South_Park,"",2],["South_Shore,_Chicago","",6],[Supply-side_economics,"",1],[Thunderstorm,m,1],[Universit%C3%A9_de_Montr%C3%A9al,m,1],[Warlord_(DC_Comics),"",1],[Yamakasi_(film),"",1]]
hemitragus	[1,1,[Okapi,"",1]]
heurgon	[2,2,[Jupiter_(mythology),"",1],[Sol_Invictus,"",1]]
heyworth	[1,1,[USS_America_(CV-66),m,1]]
hicks's	[1,1,[List_of_important_publications_in_economics,"",1]]
hillcrest	[2,2,["Lindenwood,_Illinois","",1],[National_Energy_Research_Scientific_Computing_Center,"",1]]
hinault	[1,1,[Points_classification,m,1]]
hintermeister	[1,2,[Edmund_Randolph,"",2]]
hire	[15,24,[2017_NFL_season,"",4],[Brown_v._Plata,"",2],[Bryna_Productions,m,1],[Computer_(job_description),"",1],[Eva_Moskowitz,"",1],[FAU_Soccer_Field,m,1],[Guelaguetza,"",1],[History_of_Champagne,"",1],[Indianapolis_Clowns,m,2],["Manhattan,_New_York","",1],[Open_score,m,1],[Partus_sequitur_ventrem,"",1],[Peak_District,"",4],[Refusal_of_work,"",2],[Yellow_cab,"",1]]
hizô	[1,1,[Proto-Germanic,"",1]]
hmnzs	[3,5,[Cook_Strait,m,1],[Forklift,"",1],[SS_Torrey_Canyon,"",3]]
hobbs	[6,9,[75th_United_States_Congress,m,1],[76th_United_States_Congress,m,1],[All_In_(professional_wrestling_event),"",1],[Monterey_Grand_Prix,m,1],[Schwarzschild%27s_equation_for_radiative_transfer,"",3],[Theydon_Bois,"",2]]
hockney's	[1,1,[York_Museums_Trust,m,1]]
hogweed	[1,1,[Herakles,m,1]]
holocaust	[22,65,[AD_1962,m,1],[Ancient_Greek_religion,m,1],[Arendt,"",10],["Diana,_Princess_of_Wales_Memorial_Fountain","",1],[Donald_Ewen_Cameron,"",1],[Erich_Ludendorff,m,1],[Eva_Moskowitz,"",1],[Global_climate_change,"",1],[Iron_Guard,m,13],[Jack_Norris_(activist),"",1],[Korosten,"",4],[Nationalism,"",2],[Neely_Bruce,"",1],[New_York_State_Banking_Department,"",2],[Nuremburg_Trials,"",11],[Parsley_Massacre,"",5],["Portal:Railways",m,1],[Rachel_Weisz,m,3],[Shirley_MacLaine,m,2],[Victims_of_Communism_Memorial,"",1],[Wikipedia?Wikipedia,"",1],[Zar,m,1]]
holocene	[14,20,["1293",m,1],["1331","",1],[545_BC,m,1],["795","",1],[AD_1962,m,1],[Andean_civilizations,"",1],[Antelope,m,1],[Cascadia_subduction_zone,"",2],[Common_Era,m,1],[El_Nina,"",3],[Global_climate_change,"",2],[Gruiformes,m,1],[New_Earth_Time,"",3],["User:Another_Believer",m,1]]
hoot	[3,5,[AD_1962,m,1],[FAU_Soccer_Field,m,2],[Primates,"",2]]
hootie	[1,1,[Justin_Bieber,"",1]]
hornindalsvatnet	[1,1,[Styggevatnet,"",1]]
horologer	[1,1,[TX_Watch_Company,m,1]]
horspool	[1,1,[Graph_algorithms,"",1]]
hoscheit	[1,1,[KBC_Void,m,1]]
hospitalized	[5,7,[Army_and_Air_Force_Exchange_Service,"",1],[Dan_Kaminsky,"",1],[Leonie_(film),"",1],[Molnupiravir,"",3],[Prince_(musician),"",1]]
houlder	[1,1,[Shergold,"",1]]
hunchback	[2,2,[Hurrem_Sultan,"",1],[Jack_Ketchum,"",1]]
huygens	[3,3,[Claude-Adrien_Helvtius,"",1],[Pieter_Corneliszoon_Hooft,"",1],[Tritone,"",1]]
hästhagen	[1,1,["Category:Stockholm_County_geography_stubs",m,1]]
idealized	[6,7,[American_propaganda_during_World_War_II,"",1],[Arts,m,1],[Erotic_capital,"",1],[Georg_Simmel,"",1],[Nationalism,"",2],[Samuel_Bowles_(economist),"",1]]
idiomatic	[1,1,[Proto-Germanic,"",1]]
iesu	[1,1,[Common_Era,m,1]]
iloprost	[1,3,[Rosmarinic_acid,"",3]]
impunity	[6,6,[American_propaganda_during_World_War_II,"",1],[Export_of_cryptography_in_the_United_States,"",1],[International_Women's_Day,"",1],[Iron_Guard,m,1],[Leymah_Gbowee,"",1],["Orders,_decorations,_and_medals_of_the_United_Kingdom",m,1]]
imtyaz	[1,2,[Elia_Abu_Madi,"",2]]
indometacin	[1,3,[Rosmarinic_acid,"",3]]
infiltrates	[1,1,[Cory_Doctorow,m,1]]
informatics	[7,12,["Category:Computer_science_organizations","",4],[Information_society,"",2],[Paediatrics,m,1],[Stafford_Beer,"",1],[Systems_biology,"",2],[Universit%C3%A9_de_Montr%C3%A9al,m,1],[Vienna_University_of_Technology,"",1]]
ingots	[1,1,[Busan,m,1]]
insane	[7,9,[Cat_Stevens'_comments_about_Salman_Rushdie,"",1],[Filter_bubble,"",1],[Herakles,m,1],[Seven_Summits,"",1],[Surface_caching,"",1],[The_Hatter,"",3],[The_Sandman_(Vertigo),"",1]]
intercontinental	[6,12,[All_In_(professional_wrestling_event),"",1],[George_Bush_Presidential_Library,"",1],[KLM,"",6],[Oakland_International_Airport,"",2],[Odessa,m,1],[Video_disk,"",1]]
interlingua	[22,24,[Africa,"",1],[Bikini,"",1],[COC_Nederland,"",1],[Cereal_grain,"",1],[Enthalpy_of_fusion,"",1],[Entropy,"",1],[Global_climate_change,"",1],[Jupiter_(mythology),"",1],[Justin_Bieber,"",1],[Koala,"",1],[Leymah_Gbowee,"",1],[Loricifera,"",1],[Marie_von_Ebner-Eschenbach,"",1],[Money,"",1],[Na'vi_language,"",3],[Primates,"",1],[Sauerkraut,"",1],[Sol_Invictus,"",1],[South_Park,"",1],[Spamming,"",1],[Victoria_(plant),"",1],[Wikipedia?Wikipedia,"",1]]
interned	[7,8,[Charlotte_Haldane,"",1],[Clojure,"",1],[First_Vienna_Award,m,1],[Hungarian_People%27s_Republic,m,1],[Joseph_Stalin,"",1],[Macedonia_naming_dispute,"",1],[Miron_Constantinescu,m,2]]
internet's	[5,6,[Filter_bubble,"",2],[Informational_cascade,"",1],[Natural_News,"",1],[Negro_Swan,"",1],[Steal_This_Film,"",1]]
interreg	[1,2,[Greater_Region_of_Luxembourg,"",2]]
interspliced	[1,1,[The_Mickey_Mouse_Club,"",1]]
interstitial	[3,3,[Picture_Pages,"",1],[The_Mickey_Mouse_Club,"",1],[Universal_Kids,"",1]]
intolerant	[3,3,[Comoro_Islands,"",1],[Pirate_Party_of_Serbia,"",1],[Rachel_Weisz,m,1]]
ipsilateral	[1,1,[Braitenberg_vehicle,"",1]]
iro	[1,1,[Ringo_Sheena,"",1]]
irredentism	[2,48,[Irredentism,m,41],[Nationalism,"",7]]
islams	[1,1,[Afar_people,m,1]]
isometrically	[1,2,[Metric_space,m,2]]
izzard	[1,2,[AD_1962,m,2]]
iğdır	[1,2,[Russo-Persian_War_(1826%E2%80%931828),m,2]]
jaded	[2,2,[Ham_on_Rye,m,1],[Irish_English,m,1]]
japan's	[17,41,[Ainu_language,m,1],[American_propaganda_during_World_War_II,"",4],[Avalon_Guitars,"",1],[Busan,m,1],[Cascadia_subduction_zone,"",1],[Chatmonchy,"",1],[Cruiser_(motorcycle),"",1],[Fate/Grand_Order,"",1],[Hikikomori,"",10],[Imperial_Chinese_tributary_system,"",1],[Mechagodzilla,"",1],[Militarism,m,5],[Nanshin-ron,"",6],[Nationalism,"",1],[Ringo_Sheena,"",2],[Satsuma_Rebellion,m,3],[Taito_Corporation,"",1]]
jatak	[1,1,[Odia_script,"",1]]
jenn	[3,3,[Clairvoyant_(disambiguation),"",1],[Napalm_Death,m,1],[The_Mickey_Mouse_Club,"",1]]
jentzen	[1,1,[EMS_Prize,m,1]]
jg	[5,6,[Bikini,"",1],[KEZI,m,2],[LD50,"",1],[Primates,"",1],[Thunderstorm,m,1]]
jianwei	[1,1,["Hand,_foot_and_mouth_disease","",1]]
jiminy	[1,1,[The_Mickey_Mouse_Club,"",1]]
jiūmóluóshí	[1,1,[East_Asian_M%C4%81dhyamaka,"",1]]
josefin	[1,1,[Carolina_parakeet,"",1]]
josei	[2,4,[Fate/Grand_Order,"",2],[Ringo_Sheena,"",2]]
jstor	[207,388,["1331","",1],[148th_Space_Operations_Squadron,"",1],[2007_FIFA_Women%27s_World_Cup_Group_D,m,1],[3d_Space_Operations_Squadron,"",1],[5th_Space_Operations_Squadron,"",1],[6th_Space_Operations_Squadron,"",1],[Afar_people,m,1],[Africa,"",6],[Alternative_civilian_service,"",1],[American_propaganda_during_World_War_II,"",1],[Analytical_profile_index,"",1],[Andean_civilizations,"",2],[Animal_Farm_(1954_film),"",7],[Apogee,m,1],[Apple_Pro_Mouse,"",1],[Arendt,"",30],[At_the_Strasbourg,m,1],[Aut%C3%B3dromo_Internacional_de_Curitiba,"",1],[Avalon_Guitars,"",1],[Awa_Odori,"",1],[Bad_Ronald,m,1],[Big_Bad_Wolf,m,1],[Billy_Powell,m,1],[Booker_T._Washington,"",11],[Busan,m,1],[COC_Nederland,"",1],[Caesar_(band),"",1],[Carolina_parakeet,"",1],[Castrato,m,1],["Catherine_Grandison,_Countess_of_Salisbury",m,1],[Cebu_Doctors%27_University_Hospital,"",1],["Chattanooga,_Tennessee",m,1],[Chevrolet_Beretta,m,1],[Chiropractic_education,"",1],[Christian_De_Sica,m,1],[Cloze_deletion,"",2],[Cloze_deletions,"",2],[Coerce,"",3],[Colne,"",1],[Computer_(job_description),"",1],[Concino_Concini,m,1],[Condorcet,"",1],[Constant_problem,"",1],[Criminal_code,"",1],[Cultural_evolution,"",2],[Cuneiform,"",3],[Cytolysis,"",1],[Donald_Ewen_Cameron,"",1],[Dragonstar_(role-playing_game),"",1],[Dumas_Malone,"",2],[Eadweard_Muybridge,"",2],[East_Stroudsburg_University_of_Pennsylvania,m,1],[Eastern_Coastal_Plains,"",1],[Eket_people,"",3],[Enk%C3%B6pings_RK,m,1],[Eric_Zimmerman,"",1],[Erich_Ludendorff,m,2],[Erotic_capital,"",4],[Eugene_Fama,"",1],[Exclave,m,3],[Fodera,"",1],[Forklift,"",2],[Fraternities_and_sororities,"",1],[Fraternity,"",1],[Freethought,"",1],[Futura_2000,"",2],[GForge,"",1],[Galapagos_penguin,m,1],[Georgism,"",11],[Ghazi_Kanaan,m,1],[Global_climate_change,"",1],[Graph_algorithms,"",1],[Greater_Region_of_Luxembourg,"",1],[Greg_Bennett_Guitars,"",1],[H%C3%A9ctor_Scarone,m,1],[Hafiz_%28Qur%27an%29,"",1],[Hatch_Act_of_1939,"",2],[Hawaiian_crow,m,3],[Herakles,m,4],["Hernando,_Mississippi","",1],[Hikikomori,"",1],[Houmt_El_Souk,"",1],[Huckleberry_Finn,m,1],[Hudson's_Bay_Company,"",3],[Hurrem_Sultan,"",4],[Information_society,"",3],[Informational_cascade,"",2],[Insurrection,m,2],["International_District,_Seattle,_Washington","",1],[International_Women's_Day,"",2],[Iron_Guard,m,1],[Irredentism,m,3],[Jack_Ketchum,"",1],[Java_Authentication_and_Authorization_Service,"",1],[Johann_Kaspar_Lavater,m,1],[Joseph_I_of_Portugal,m,1],[Joseph_Stalin,"",11],[Kashubian_language,m,1],[Kickstand,"",1],[Kraft_paper,"",1],[Larriv%C3%A9e_(guitar_company),"",1],[List_of_Virginia_state_parks,"",1],[List_of_important_publications_in_economics,"",1],[Loricifera,"",1],[Loss_of_significance,"",1],[Mahan_Air,"",1],[Maravillas_(film),m,1],[Marie_von_Ebner-Eschenbach,"",4],[Message_submission_agent,"",1],[Mid_Cork_Junior_A_Football_Championship,m,1],[Money,"",2],[Monsterland_and_Monster_Island,"",2],[Morgan_le_Fay,m,3],[Multiple-language_version,"",1],[Nanshin-ron,"",3],[Natalia_Goncharova,"",2],[Nationalism,"",16],[Natural_experiment,"",3],[Neo_Geo,"",1],[New_Earth_Time,"",1],[Nuremburg_Trials,"",5],[Oboe_d%27amore,m,1],[Ocean_Drilling_Program,m,1],[Octagonal_number,m,1],[Odessa,m,2],[Odoacer,m,3],[Okapi,"",4],[Open_score,m,4],[Palsa,m,1],[Panhard_rod,"",1],[Parsley_Massacre,"",2],[Partus_sequitur_ventrem,"",1],[Past_participle,m,1],[Philadelphia_Police_Department,"",1],[Philip_Bezanson,"",1],[Philippine_literature,m,1],[Pieter_Corneliszoon_Hooft,"",1],[Pirate_Party_of_Serbia,"",1],[Pitcher_plant,"",1],[Points_classification,m,1],[Primates,"",4],[Proto-Germanic,"",6],[Psilocybe_stuntzii,m,1],[Psychoneuroimmunology,"",1],[Puerto_Rican_hutia,m,1],[Quanta_Plus,m,2],[RERO_(identifier),"",1],[RFactor,"",1],[Railway_signal,"",1],[Red_Sticks,"",5],[Reelz,"",1],["Roslin,_Midlothian","",1],[Royal_Pirates,"",1],[Royal_prerogative_in_the_United_Kingdom,m,2],["Rudolf_II,_Holy_Roman_Emperor",m,4],[Rumbai,"",1],[Russo-Persian_War_(1826%E2%80%931828),m,1],[SERVQUAL,m,1],[Sailboat,"",1],[Sailing_(sport),"",1],[Saint_George,m,1],[Samuel_Bowles_(economist),"",3],[San_Giovanni_Rotondo,m,1],[Scottish_independence,m,1],[Scrum_(development),"",1],[Selangor,"",3],[Selangor,m,3],[Semi-major_axis,m,1],[Senior_Superintendent_of_Police,m,1],[Shergold,"",1],[Shunt_(theatre_company),"",1],["Silent_Hill:_Orphan","",1],[Social_economy,"",1],["South_Shore,_Chicago","",1],[Sprague-Thomson,"",1],[Suicide_in_the_United_States,m,2],[Supply-side_economics,"",4],[Surface_caching,"",1],[Swahili_people,m,1],[Systems_biology,"",1],[TN_status,"",1],[Tardigrade,m,3],[Tesserae,m,1],[Thai_Malays,"",1],[The_Charge_of_the_Light_Brigade_(poem),"",2],[The_Compound,"",1],[The_Hatter,"",1],[The_International_Customer_Service_Institute,"",1],[The_Irish_Descendants,"",2],[Thermostat,m,1],[Thing_(The_Addams_Family),m,1],[Timeline_of_first_Earth_observation_satellites,m,1],[Tokharistan,m,2],[Track_Records,"",1],[Trishula,"",1],[Tuvok,"",1],[USS_America_(CV-66),m,1],[United_Dairies,m,1],[Val_Murray_Runge,"",1],[Vedic_period,"",1],[Video_disk,"",1],[Wikipedia?Wikipedia,"",1],["Wolfgang,_Prince_of_Anhalt-K%C3%B6then","",1],[Woodcock%E2%80%93Johnson_Tests_of_Cognitive_Abilities,"",1],[Yamakasi_(film),"",1],[Yankees_Classics,"",1],[Zealotry,m,1]]
juklevatnet	[1,1,[Styggevatnet,"",1]]
jumbo	[4,6,[Avalon_Guitars,"",1],[Big_Bad_Wolf,m,1],[Larriv%C3%A9e_(guitar_company),"",3],["Texas_Chainsaw_Massacre:_The_Next_Generation","",1]]
juneteenth	[2,3,[Booker_T._Washington,"",1],[Partus_sequitur_ventrem,"",2]]
junkie	[1,1,[Fate/Grand_Order,"",1]]
jurisprudence	[7,8,[Ahmed_el-Tayeb,"",2],[Condorcet,"",1],[Georg_Simmel,"",1],[Imamate_in_Shia_doctrine,m,1],[Informational_cascade,"",1],[Money,"",1],[Nuremburg_Trials,"",1]]
jönsson	[1,5,[Tardigrade,m,5]]
kafir	[1,2,[Gringo,"",2]]
kakahaia	[1,1,[Haleakala_National_Park,"",1]]
kalmyks	[2,2,[Dmitri_Mendeleev,m,1],[Joseph_Stalin,"",1]]
kaltenbach	[1,1,[Foreign_Broadcast_Information_Service,"",1]]
kamba	[1,2,[Mombasa_County,m,2]]
kanchil	[1,1,[Okapi,"",1]]
kanching	[2,6,[Selangor,"",3],[Selangor,m,3]]
kankkonen	[1,4,[Matti_Nyk%C3%A4nen,"",4]]
kant	[9,27,[Arendt,"",16],[Categories,"",1],[Claude-Adrien_Helvtius,"",1],[Condorcet,"",1],[Georg_Simmel,"",4],[Hermann_Ebbinghaus,"",1],[Lockean_proviso,"",1],[Ludwig_von_Mises,"",1],[Prince_(musician),"",1]]
kaprāns	[1,1,[Borat,"",1]]
karen	[34,55,[1700_Cascadia_earthquake,"",1],[AD_1962,m,1],[A_Room_with_a_View,m,1],[Army_and_Air_Force_Exchange_Service,"",2],[Bad_Ronald,m,2],[Bikini,"",1],[Brown_v._Plata,"",1],[Cuneiform,"",2],[Eadweard_Muybridge,"",1],[Filter_bubble,"",1],[GNOME_Keyring,"",1],["Hand,_foot_and_mouth_disease","",2],[Ilya_Prigogine,"",2],[International_Women's_Day,"",1],[Jack_Norris_(activist),"",1],[Jungle_Book,"",1],[LD50,"",1],[Leo_and_Diane_Dillon,m,2],[Ludwig_von_Mises,"",1],[Macedonia_naming_dispute,"",1],["Manhattan,_New_York","",1],[Nationalism,"",1],[Nick_Holonyak,"",1],[Odia_script,"",2],[Paediatrics,m,1],[Philip_Bezanson,"",1],[Radiative_forcing,"",1],["Silent_Hill:_Orphan","",10],[Steven_Pruzansky,"",1],[Thai_Malays,"",2],[The_Mickey_Mouse_Club,"",3],[The_Sandman_(Vertigo),"",2],[Universal_Kids,"",2],[Walter_Gieseking,"",1]]
kartsev	[1,1,[Odessa,m,1]]
katya	[2,2,[Odessa,m,1],[Pazardzhik,"",1]]
kblb	[1,1,[Reelz,"",1]]
kcnd	[1,1,[Shaw_Media,m,1]]
keolis	[1,1,[Yellow_cab,"",1]]
khandalavala	[1,1,[Prabhu_Deva,"",1]]
kher	[1,2,[Prabhu_Deva,"",2]]
khya	[1,1,[Odia_script,"",1]]
kiautschou	[1,1,[Georgism,"",1]]
kildare	[3,3,[Augustus_Pugin,m,1],[Irish_English,m,1],[Morgan_le_Fay,m,1]]
kingsley	[8,8,[Fred_Melamed,m,1],[Irish_English,m,1],[Kabir_Bedi,"",1],[Nationalism,"",1],[Ohanaeze_Ndigbo,m,1],["Orders,_decorations,_and_medals_of_the_United_Kingdom",m,1],[Prabhu_Deva,"",1],[The_Hatter,"",1]]
kirschwasser	[2,2,[Calvados_(spirit),"",1],[History_of_Champagne,"",1]]
kismat	[1,2,[Kabir_Bedi,"",2]]
kleinrock	[1,2,[Nick_Holonyak,"",2]]
knowingly	[1,1,[Lawrence_Franklin_espionage_scandal,"",1]]
kohara	[1,1,[Tardigrade,m,1]]
konarski	[1,1,[Claude-Adrien_Helvtius,"",1]]
koppie	[1,1,[Antelope,m,1]]
kostyantyn	[1,1,[Odessa,m,1]]
krali	[1,1,[Pazardzhik,"",1]]
krautschick	[1,1,[Odoacer,m,1]]
krug	[2,2,[History_of_Champagne,"",1],[Huckleberry_Finn,m,1]]
krwf	[1,1,[Reelz,"",1]]
kuani	[1,2,[Ainu_language,m,2]]
kureika	[1,2,[Joseph_Stalin,"",2]]
kushan	[2,2,[East_Asian_M%C4%81dhyamaka,"",1],[Vedic_period,"",1]]
kwon	[1,1,[Entropy,"",1]]
kāpa	[1,1,[Proto-Germanic,"",1]]
kōichirō	[1,1,[Miri_Yu,"",1]]
l'alun	[1,1,[Tardigrade,m,1]]
ladoga	[1,1,[Saint_George,m,1]]
laitin	[1,11,[Insurrection,m,11]]
lal	[11,27,[AD_1962,m,1],[Bikini,"",1],[Bornholm_disease,"",1],["Category:Bihar_politician_stubs",m,6],[Cuneiform,"",1],[Eastern_Coastal_Plains,"",1],[Kabir_Bedi,"",2],[Prabhu_Deva,"",4],[Rao_Bahadur,"",4],[Vedic_period,"",1],[Write_amplification,"",5]]
lali	[1,1,[Justin_Bieber,"",1]]
langlo	[1,1,[Schwarzschild%27s_equation_for_radiative_transfer,"",1]]
laplanche	[1,1,[Garrigou-Lagrange,"",1]]
lapworth	[1,1,[Sailing_(sport),"",1]]
larbareng	[1,2,[Arros%C3%A8s,m,2]]
laskar	[3,3,[Irredentism,m,1],[Radiative_forcing,"",1],[Retrograde_motion,"",1]]
latest	[61,88,[Africa,"",1],[Apache_Cassandra,"",4],[Billy_Powell,m,1],[Borat,"",2],[Building_engineering,m,1],[Clojure,"",2],[Complex_(magazine),"",3],[Cory_Doctorow,m,1],[Cruiser_(motorcycle),"",1],[Cultural_evolution,"",1],[Cuneiform,"",2],[Eggerland_series,"",1],[Erotic_capital,"",1],[FFV1,"",1],[Faggot_(slang),"",1],[Fate/Grand_Order,"",1],[First_Vienna_Award,m,1],[Foot_whipping,"",1],[Football_Manager_2011,"",1],[Global_climate_change,"",1],[Great_Fire_of_London,"",1],[Gringo,"",1],["Hand,_foot_and_mouth_disease","",1],[Hudson's_Bay_Company,"",1],[I_Shouldn%27t_Be_Alive,m,1],[Iron_Guard,m,1],[Joystiq,"",2],[Justin_Bieber,"",3],[KLM,"",1],["Lego_Harry_Potter:_Years_14","",1],[Macedonia_naming_dispute,"",7],[Magdalenian,"",1],["Manhattan,_New_York","",2],["Maryland,_My_Maryland","",1],[Mechagodzilla,"",1],[Monterey_Grand_Prix,m,1],[NetBeans,"",1],[Odessa,m,1],[Okapi,"",1],[Pazardzhik,"",1],[Polar_Satellite_Launch_Vehicle,m,2],[Prince_(musician),"",1],[Rachel_Weisz,m,2],["Rudolf_II,_Holy_Roman_Emperor",m,1],["S%C3%A3o_Domingos,_Cape_Verde_(municipality)",m,1],[Scottish_independence,m,1],[Secure_boot,"",1],[Seven_Summits,"",1],[Shih_Ming-teh,m,1],["South_Shore,_Chicago","",1],[Stan_Tracey,m,1],[Suicide_in_the_United_States,m,1],[Swahili_people,m,1],[Terrorism_Act_2000,"",1],["Texas_Chainsaw_Massacre:_The_Next_Generation","",1],[The_Adventures_of_Rain_Dance_Maggie,m,2],[The_Baseball_Bunch,"",1],[The_Periodic_Table_of_Videos,"",1],[USS_America_(CV-66),m,1],[Wikipedia?Wikipedia,"",7],[Write_amplification,"",1]]
lebensanschauung	[1,2,[Georg_Simmel,"",2]]
lefkowitz	[4,6,[Ilya_Prigogine,"",1],["Little_Saint_James,_U.S._Virgin_Islands","",1],[Nick_Holonyak,"",1],[Shirley_MacLaine,m,3]]
leibel	[1,1,[List_of_IACC_yachts,m,1]]
lempinen	[1,1,[Matti_Nyk%C3%A4nen,"",1]]
leudh	[1,1,[Jupiter_(mythology),"",1]]
leur	[1,1,[Victor_Babe%C8%99,"",1]]
li's	[1,2,[Fuchai_of_Wu,m,2]]
licences	[6,15,[Cory_Doctorow,m,3],[First_Vienna_Award,m,1],[Forklift,"",7],[Intellectual_capital,"",1],[Peak_District,"",2],[Site_of_Special_Scientific_Interest,"",1]]
lifeboat	[3,7,[Carnival_Cruise_Line,"",4],[Starter_(engine),m,2],[Stothert_&_Pitt,"",1]]
lightcurve	[1,1,[Photometry_%28astronomy%29,"",1]]
lindblad	[1,1,[Nanshin-ron,"",1]]
